id;type;name;address;x;y
932749436;smoking_area;;"улица Мира, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.844866;66.859404
932749437;parking;;"Молодёжная улица, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.839558;66.866404
5955171328;driving_school;;"16А, Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.841389;66.862046
5957466388;hotel;ЯЛЭМД;"ЯЛЭМД, 4, Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.844556;66.859157
5957632594;cafe;"Кафе ""АЙС""";"Кафе ""АЙС"", 33, улица Мира, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.839189;66.866210
5958042478;pharmacy;;"31, Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.838928;66.863341
5958042775;cafe;Жар-Пицца;"Жар-Пицца, 19, Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.841197;66.861311
5958043097;community_centre;Центр национальных культур;"Центр национальных культур, 17, Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.841149;66.860969
5958296472;pharmacy;;"Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.834387;66.868730
5959718745;pharmacy;Градусник;"Градусник, улица Худи Сэроко, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.836634;66.861959
6800436089;memorial;Глобус Знаний;"Глобус Знаний, улица Мира, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.845450;66.860633
6800436132;memorial;В. И. Ленину;"В. И. Ленину, улица Худи Сэроко, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.840605;66.860322
6800436145;hotel;;"22, улица Мира, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.844209;66.862321
6806715394;ferry_terminal;;"Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.852675;66.855922
8629857343;doctors;Поликлиника;"Поликлиника, 21, улица Худи Сэроко, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.840150;66.859740
8632307335;fuel;;"Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.830478;66.869964
8646216907;restaurant;Ялэмд;"Ялэмд, 4, Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.844429;66.859093
8646216908;fitness_centre;Арктика;"Арктика, 33, улица Мира, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия";70.839163;66.866460
